location,source
ITEMGEN_PLANT_PART1_85,{Pip}
ITEMGEN_PLANT_PART1_86,{Tin}
ITEMGEN_PLANT_PART1_87,{Rust}
ITEMGEN_PLANT_PART1_88,{Trust}
ITEMGEN_PLANT_PART1_89,{Musk}
ITEMGEN_PLANT_PART1_90,{False}
ITEMGEN_PLANT_PART1_91,{Fake}
ITEMGEN_PLANT_PART1_92,{Fall}
ITEMGEN_PLANT_PART1_93,{Sky}
ITEMGEN_PLANT_PART1_94,{Lost}
ITEMGEN_PLANT_PART1_95,{Boast}
ITEMGEN_PLANT_PART1_96,{Host}
ITEMGEN_PLANT_PART1_97,{Skin}
ITEMGEN_PLANT_PART1_98,{Thief}
ITEMGEN_PLANT_PART1_99,{Gran}
ITEMGEN_PLANT_PART1_100,{Bran}
ITEMGEN_PLANT_PART1_101,{Wheat}
ITEMGEN_PLANT_PART1_102,{Bay}
ITEMGEN_PLANT_PART1_103,{Ship}
ITEMGEN_PLANT_PART1_104,{Corn}
ITEMGEN_PLANT_PART1_105,{Scorn}
ITEMGEN_PLANT_PART1_106,{Cap}
ITEMGEN_PLANT_PART1_107,{Tap}
ITEMGEN_PLANT_PART1_108,{Wrap}
ITEMGEN_PLANT_PART1_109,{Sack}
ITEMGEN_PLANT_PART1_110,{Sand}
ITEMGEN_PLANT_PART1_111,{Buck}
ITEMGEN_PLANT_PART1_112,{Iron}
ITEMGEN_PLANT_PART1_113,{Pulp}
ITEMGEN_PLANT_PART1_114,{Cone}
ITEMGEN_PLANT_PART1_115,{Crow}
ITEMGEN_PLANT_PART1_116,{Dew}
ITEMGEN_PLANT_PART1_117,{Fever}
ITEMGEN_PLANT_PART1_118,{Fume}
ITEMGEN_PLANT_PART1_119,{Flux}
ITEMGEN_PLANT_PART1_120,{Gut}
ITEMGEN_PLANT_PART1_121,{Holly}
ITEMGEN_PLANT_PART1_122,{Itch}
ITEMGEN_PLANT_PART1_123,{Paint}
ITEMGEN_PLANT_PART1_124,{Jug}
ITEMGEN_PLANT_PART1_125,{Flea}
ITEMGEN_PLANT_PART1_126,{Love}
ITEMGEN_PLANT_PART1_127,{Lone}
ITEMGEN_PLANT_PART1_128,{Louse}
ITEMGEN_PLANT_PART1_129,{Dream}
ITEMGEN_PLANT_PART1_130,{Sow}
ITEMGEN_PLANT_PART1_131,{Tooth}
ITEMGEN_PLANT_PART1_132,{Frog}
ITEMGEN_PLANT_PART1_133,{Toad}
ITEMGEN_PLANT_PART1_134,{Drip}
ITEMGEN_PLANT_PART1_135,{Honey}
ITEMGEN_PLANT_PART2_1,{weed}
ITEMGEN_PLANT_PART2_2,{wort}
ITEMGEN_PLANT_PART2_3,{leaf}
ITEMGEN_PLANT_PART2_4,{thistle}
ITEMGEN_PLANT_PART2_5,{grass}
ITEMGEN_PLANT_PART2_6,{parsley}
ITEMGEN_PLANT_PART2_7,{brush}
ITEMGEN_PLANT_PART2_8,{flower}
ITEMGEN_PLANT_PART2_9,{moss}
ITEMGEN_PLANT_PART2_10,{root}
ITEMGEN_PLANT_PART2_11,{rose}
ITEMGEN_PLANT_PART2_12,{berry}
ITEMGEN_PLANT_PART2_13,{tree}
ITEMGEN_PLANT_PART2_14,{paper}
ITEMGEN_PLANT_PART2_15,{cress}
ITEMGEN_PLANT_PART2_16,{thorn}
ITEMGEN_PLANT_PART2_17,{briar}
ITEMGEN_PLANT_PART2_18,{wood}
ITEMGEN_PLANT_PART2_19,{dalis}
ITEMGEN_PLANT_PART2_20,{foot}
ITEMGEN_PLANT_PART2_21,{gall}
ITEMGEN_PLANT_PART2_22,{fern}
ITEMGEN_PLANT_PART2_23,{flax}
ITEMGEN_PLANT_PART2_24,{fruit}
ITEMGEN_PLANT_PART2_25,{bore}
ITEMGEN_PLANT_PART2_26,{herb}
ITEMGEN_PLANT_PART2_27,{rush}
ITEMGEN_PLANT_PART2_28,{palm}
ITEMGEN_PLANT_PART2_29,{vine}
ITEMGEN_PLANT_PART2_30,{foil}
ITEMGEN_PLANT_PART2_31,{shade}
ITEMGEN_PLANT_PART2_32,{oak}
ITEMGEN_PLANT_PART2_33,{birch}
