location,source
UI_MIN_FACT_6,{Most bouyant:}
UI_MIN_FACT_7,{Heaviest:}
UI_MIN_FACT_8,{Worst to eat:}
UI_MIN_FACT_9,{Highest metal content:}
UI_MIN_FACT_10,{Rarest:}
UI_MIN_FACT_11,{Industrially useful:}
UI_MIN_FACT_12,{Most fossils:}
UI_MIN_FACT_13,{Most valuable:}
UI_MIN_FACT_14,{Oldest:}
UI_MIN_FACT_15,{Most dense:}
UI_MIN_FACT_16,{Formed at highest pressure:}
UI_MIN_FACT_17,{Formed at highest temperature:}
UI_MIN_FACT_18,{Most bouyant:}
UI_MIN_FACT_19,{Heaviest:}
UI_MIN_FACT_20,{Worst to eat:}
UI_MIN_FACT_21,{Highest metal content:}
UI_MIN_FACT_22,{Rarest:}
UI_MIN_FACT_23,{Industrially useful:}
UI_MIN_FACT_24,{Most fossils:}
UI_MIN_FACT_25,{Industrially useful:}
UI_CREATURE_NOTE_1,{Many hidden toes}
UI_CREATURE_NOTE_2,{Builds metal nest}
UI_CREATURE_NOTE_3,{Dislikes bright colours}
UI_CREATURE_NOTE_4,{Moon Baby}
UI_CREATURE_NOTE_5,{Lays beautiful eggs}
UI_CREATURE_NOTE_6,{Waxy all-over}
UI_CREATURE_NOTE_7,{Secretes venom}
UI_CREATURE_NOTE_8,{Compound eyes}
UI_CREATURE_NOTE_9,{Inverted organ sacs}
UI_CREATURE_NOTE_10,{Good pollinator}
UI_CREATURE_NOTE_11,{Ultrasonic roar}
UI_CREATURE_NOTE_12,{Retractable appendages}
UI_CREATURE_NOTE_13,{Has no bones}
UI_CREATURE_NOTE_14,{Not carbon based}
UI_CREATURE_NOTE_15,{Evil}
UI_CREATURE_NOTE_16,{Nutritious faeces}
UI_CREATURE_NOTE_17,{Asexual reproduction}
UI_CREATURE_NOTE_18,{Changes gender when cold}
UI_CREATURE_NOTE_19,{Can dislocate jawbones}
UI_CREATURE_NOTE_20,{Powerful mandibles}
UI_CREATURE_NOTE_21,{Autonomous regeneration}
UI_CREATURE_NOTE_22,{Technically immortal}
UI_CREATURE_NOTE_23,{Blue blood}
UI_CREATURE_NOTE_24,{Green blood}
UI_CREATURE_NOTE_25,{Yellow blood}
