location,source
UP_SHIPLAS_EPIC_ADJ_4,{Electromagnetic}
UP_SHIPLAS_EPIC_ADJ_5,{Resonant}
UP_SHIPLAS_SCLASS_ADJ_1,{Superconducting}
UP_SHIPLAS_SCLASS_ADJ_2,{Brilliant}
UP_SHIPLAS_SCLASS_ADJ_3,{Dazzling}
UP_SHIPLAS_SCLASS_ADJ_4,{Supreme}
UP_SHIPLAS_SCLASS_ADJ_5,{Incomparable}
UP_SHIPSHIELD_COMP_1,{Lattice}
UP_SHIPSHIELD_COMP_2,{Shield}
UP_SHIPSHIELD_COMP_3,{Armour}
UP_SHIPSHIELD_COMP_4,{Bulwark}
UP_SHIPSHIELD_COMP_5,{Grafts}
UP_SHIPSHIELD_COMP_6,{Padding}
UP_SHIPSHIELD_COMP_7,{Buffer}
UP_SHIPSHIELD_COMP_8,{Polariser}
UP_SHIPSHIELD_COMP_9,{Battery}
UP_SHIPSHIELD_COMP_10,{Resonator}
UP_SHIPSHIELD_COMMON_ADJ_1,{Secondary}
UP_SHIPSHIELD_COMMON_ADJ_2,{High-Frequency}
UP_SHIPSHIELD_COMMON_ADJ_3,{Supercharged}
UP_SHIPSHIELD_COMMON_ADJ_4,{Sodium}
UP_SHIPSHIELD_COMMON_ADJ_5,{Dioxite}
UP_SHIPSHIELD_RARE_ADJ_1,{Uranium}
UP_SHIPSHIELD_RARE_ADJ_2,{Lightning}
UP_SHIPSHIELD_RARE_ADJ_3,{Vector}
UP_SHIPSHIELD_RARE_ADJ_4,{Bionic}
UP_SHIPSHIELD_RARE_ADJ_5,{Sonic}
UP_SHIPSHIELD_EPIC_ADJ_1,{Nuclear}
UP_SHIPSHIELD_EPIC_ADJ_2,{M-Field}
UP_SHIPSHIELD_EPIC_ADJ_3,{Induction}
UP_SHIPSHIELD_EPIC_ADJ_4,{Neutron}
UP_SHIPSHIELD_EPIC_ADJ_5,{Deionised}
UP_SHIPSHIELD_SCLASS_ADJ_1,{Lorentz}
UP_SHIPSHIELD_SCLASS_ADJ_2,{Nanite}
UP_SHIPSHIELD_SCLASS_ADJ_3,{Harmonic}
UP_SHIPSHIELD_SCLASS_ADJ_4,{Lumen}
UP_SHIPSHIELD_SCLASS_ADJ_5,{Q-Field}
UP_PULSEDRIVE_COMMON_ADJ_1,{Efficient}
UP_PULSEDRIVE_COMMON_ADJ_2,{Alternate}
UP_PULSEDRIVE_COMMON_ADJ_3,{Backup}
UP_PULSEDRIVE_COMMON_ADJ_4,{Secondary}
UP_PULSEDRIVE_COMMON_ADJ_5,{Tuned}
UP_PULSEDRIVE_RARE_ADJ_1,{Polished}
UP_PULSEDRIVE_RARE_ADJ_2,{Heated}
UP_PULSEDRIVE_RARE_ADJ_3,{Upgraded}
UP_PULSEDRIVE_RARE_ADJ_4,{Rewired}
UP_PULSEDRIVE_RARE_ADJ_5,{Stabilised}
UP_PULSEDRIVE_EPIC_ADJ_1,{Extreme}
UP_PULSEDRIVE_EPIC_ADJ_2,{Augmented}
UP_PULSEDRIVE_EPIC_ADJ_3,{Solid State}
UP_PULSEDRIVE_EPIC_ADJ_4,{Gyroscopic}
UP_PULSEDRIVE_EPIC_ADJ_5,{Specialist}
UP_PULSEDRIVE_SCLASS_ADJ_1,{Flawless}
UP_PULSEDRIVE_SCLASS_ADJ_2,{Hypersonic}
UP_PULSEDRIVE_SCLASS_ADJ_3,{Harmonic}
UP_PULSEDRIVE_SCLASS_ADJ_4,{Glorious}
UP_PULSEDRIVE_SCLASS_ADJ_5,{Supercharged}
UPGRADE_SUB_1,{C-Class %NAME% Upgrade}
UPGRADE_SUB_2,{B-Class %NAME% Upgrade}
UPGRADE_SUB_3,{A-Class %NAME% Upgrade}
UPGRADE_SUB_4,{S-Class %NAME% Upgrade}
UPGRADE_PROC_DESC,{%SENT1% %SENT2%}
UPGRADE_PROC_NAME,{%ADJ% %NOUN% %APPEND%}
UPGRADE_DESC_LVL1,{A <TRADEABLE>moderate<> upgrade for the <TECHNOLOGY>%NAME%<>.}
UPGRADE_DESC_LVL2,{A <TECHNOLOGY>significant<> upgrade for the <TECHNOLOGY>%NAME%<>.}
UPGRADE_DESC_LVL3,{An <SPECIAL>extremely powerful<> upgrade for the <TECHNOLOGY>%NAME%<>.}
UPGRADE_DESC_LVL4,{A <COMMODITY>supreme<> upgrade for the <TECHNOLOGY>%NAME%<>.}
UPGRADE_1_STAT_COMMON_DESC,"{Upgrades the %NAME%, improving <STELLAR>%STAT1%<>.}"
UPGRADE_1_STAT_RARE_DESC,"{A substantial upgrade to the %NAME%, offering significant improvements to <STELLAR>%STAT1%<>.}"
UPGRADE_1_STAT_EPIC_DESC,"{A powerful upgrade module for the %NAME%, drastically improving <STELLAR>%STAT1%<>.}"
UPGRADE_1_STAT_LEGEND_DESC,"{An almost total rework of the %NAME%, this upgrade module brings unparalled improvements to <STELLAR>%STAT1%<>.}"
UPGRADE_2_STAT_COMMON_DESC,"{Upgrades the %NAME%, improving <STELLAR>%STAT1%<> and <STELLAR>%STAT2%<>.}"
UPGRADE_2_STAT_RARE_DESC,"{A substantial upgrade to the %NAME%, offering significant improvements to <STELLAR>%STAT1%<> and <STELLAR>%STAT2%<>.}"
UPGRADE_2_STAT_EPIC_DESC,"{A powerful upgrade module for the %NAME%, with the potential to drastically improve <STELLAR>%STAT1%<> and <STELLAR>%STAT2%<>.}"
UPGRADE_2_STAT_LEGEND_DESC,"{An almost total rework of the %NAME%, this upgrade module brings unparalled improvements to <STELLAR>%STAT1%<> and <STELLAR>%STAT2%<>.}"
UPGRADE_3_STAT_COMMON_DESC,"{Upgrades the %NAME%, improving <STELLAR>%STAT1%<>, <STELLAR>%STAT2%<> and <STELLAR>%STAT3%<>.}"
UPGRADE_3_STAT_RARE_DESC,"{A substantial upgrade to the %NAME%, offering significant improvements to <STELLAR>%STAT1%<>, <STELLAR>%STAT2%<> and <STELLAR>%STAT3%<>.}"
UPGRADE_3_STAT_EPIC_DESC,"{A powerful upgrade module for the %NAME%, with the potential to drastically improve <STELLAR>%STAT1%<>, <STELLAR>%STAT2%<> and <STELLAR>%STAT3%<>.}"
UPGRADE_3_STAT_LEGEND_DESC,"{An almost total rework of the %NAME%, this upgrade module brings unparalled improvements to <STELLAR>%STAT1%<>, <STELLAR>%STAT2%<> and <STELLAR>%STAT3%<>.}"
