location,source
UI_EMOTE_CHAT_CELEBRATE,{%NAME% celebrates}
UI_EMOTE_CHAT_CELEBRATE_ALT,{Amazing!}
UI_EMOTE_CHAT_CELEBRATE_ALT2,{%NAME% bursts into dance}
UI_EMOTE_CHAT_LAUGH,{Ha!}
UI_EMOTE_CHAT_LAUGH_ALT,{%NAME% laughs}
UI_EMOTE_CHAT_WARP_IN,{%NAME% has entered the system}
UI_EMOTE_CHAT_WARP_OUT,{%NAME% has left the system}
UI_EMOTE_CHAT_ATTACK_PIRATE,{%NAME% has engaged pirates}
UI_EMOTE_CHAT_ATTACK_CREATURE,{%NAME% has engaged local wildlife}
UI_EMOTE_CHAT_ATTACK_SENTINEL,{%NAME% has engaged Sentinels}
UI_EMOTE_CHAT_DISCOVER_CRE,{%NAME% has discovered a creature (%DISC_NAME%)}
UI_EMOTE_CHAT_DISCOVER_MIN,{%NAME% has discovered a mineral (%DISC_NAME%)}
UI_EMOTE_CHAT_DISCOVER_PLANT,{%NAME% has discovered a plant (%DISC_NAME%)}
UI_EMOTE_CHAT_SUMMON_FREIGHT,{%NAME% has summoned their Capital Ship (%FREIGHT_NAME%)}
UI_EMOTE_CHAT_INSTALL_TECH,{%NAME% has installed %TECH%}
UI_EMOTE_CHAT_NEW_PLANT,{%NAME% has landed on planet %PLANET%}
UI_EMOTE_PROGRESS,{%MISSION% Progress: %CURRENT%/%AMOUNT%}
UI_EMOTE_KILLED_PIRATE,{%NAME% destroyed a pirate vessel}
UI_EMOTE_KILLED_SENTINEL,{%NAME% destroyed a Sentinel Drone}
UI_EMOTE_KILLED_QUAD,{%NAME% destroyed a Sentinel Quad}
UI_EMOTE_KILLED_WALKER,{%NAME% destroyed a Sentinel Walker}
UI_EMOTE_GATHERED,{%NAME% collected %ITEM% x %NUM%}
UI_EMOTE_FREIGHTER,{%NAME% has purchased the capital ship %FREIGHTER%}
UI_EMOTE_FRIGATE,{%NAME% has purchased the frigate %FRIGATE%}
UI_SHIELD_RECHARGED,{Shield recharged!}
UI_HEALTH_RECHARGED,{Health restored!}
UI_HEX_CORE_NAME,{HEX CORE}
UI_HEX_CORE_NAME_L,{Hex Core}
UI_HEX_CORE_SUB,{Contained Reality Glitch}
UI_HEX_CORE_DESC,"{This strange energy orb constantly vibrates, emitting a low-frequency drone. Slight variations in the pattern repeat over and over, almost as if it is attempting to relay a message.}"
UI_SPECIAL_EMOTE_SUB,{Unlockable Gesture}
UI_SPECIAL_HAT_SUB,{Unlockable Helmet}
UI_SPECIAL_GLOVE_SUB,{Unlockable Gloves}
UI_SPECIAL_STATUE_SUB,{Unlockable Decoration}
UI_MP_WARNING_TITLE,{VISITING OTHER SYSTEMS}
UI_MP_WARNING,"{Multiplayer allows instant transport across the Galaxy. Teleporting to another player's location will not change your single-player location. All other character progress - including your inventory, starship and known technology - is saved as normal.}"
UI_MP_WARNING_QUESTION,{Teleport to other Traveller's location?}
UI_PORTAL_SAVE_TITLE,{Portal Travel}
UI_PORTAL_SAVE_NOTIFY,"{Portals allow access to the entire galaxy. Your location is not saved when using the Portal Network. All other progress - inventory, technology, knowledge - is saved as normal.}"
UI_SHIPSLOT_DMG1_NAME,{HULL FRACTURE}
UI_SHIPSLOT_DMG1_NAME_L,{Hull Fracture}
UI_SHIPSLOT_DMG2_NAME,{RUSTED CIRCUITS}
UI_SHIPSLOT_DMG2_NAME_L,{Rusted Circuits}
UI_SHIPSLOT_DMG3_NAME,{SHATTERED BULWARK}
UI_SHIPSLOT_DMG3_NAME_L,{Shattered Bulwark}
UI_SHIPSLOT_DMG4_NAME,{RADIATION LEAK}
UI_SHIPSLOT_DMG4_NAME_L,{Radiation Leak}
UI_SHIPSLOT_DMG5_NAME,{CONTAINMENT FAILURE}
UI_SHIPSLOT_DMG5_NAME_L,{Containment Failure}
UI_SHIPSLOT_DMG6_NAME,{DAMAGED GEARS}
UI_SHIPSLOT_DMG6_NAME_L,{Damaged Gears}
UI_SHIPSLOT_DMG_SUB,{Damaged Starship Component}
UI_SHIPSLOT_DMG_DESC,{Starship subsystem <FUEL>critically damaged<>. Slot cannot be used for <STELLAR>storage<> or <TECHNOLOGY>technology<> until damage is repaired. Use <IMG>REPAIR<> to begin repair process.}
UI_EXO_MAINT1_NAME,{FAULTY HOLOGRAM}
UI_EXO_MAINT1_NAME_L,{Faulty Hologram}
UI_EXO_MAINT2_NAME,{DAMAGED ELECTRODE}
UI_EXO_MAINT2_NAME_L,{Damaged Electrode}
UI_EXO_MAINT3_NAME,{SHATTERED POWER CORE}
UI_EXO_MAINT3_NAME_L,{Shattered Power Core}
UI_EXO_MAINT_SUB,{Damaged Component}
UI_EXO_MAINT_DESC,"{This <TECHNOLOGY>Exosuit Upgrade Module<> is critically damaged. Repair systems to restore upgrade functionality. If repaired, User <STELLAR>will not be charged<> for any Exosuit Upgrades.}"
UI_WEAPSLOT_DMG1_NAME,{SHORT CIRCUIT}
UI_WEAPSLOT_DMG1_NAME_L,{Short Circuit}
UI_WEAPSLOT_DMG2_NAME,{BLOWN TRANSISTOR}
UI_WEAPSLOT_DMG2_NAME_L,{Blown Transistor}
UI_WEAPSLOT_DMG3_NAME,{DAMAGED WIRING}
UI_WEAPSLOT_DMG3_NAME_L,{Damaged Wiring}
